"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Cautilious","Amber","This pill will make the user amazing at ice hockey.","Amber","Claiming to be an expert in chemistry.","Amber"
"Tuzclor","Cyan","This pill allows the user to see and communicate with spirits.","Cyan","Uncontrollable cravings for Italian cuisine.","Cyan"
"Vizzol","Bright Blue","This pill will make the user audacious on the badminton court.","Bright Blue","Increased competitiveness and occasional gloating.","Bright Blue"
"Poinsiduited","Forest Green","This pill will give the user a large belly, ruddy cheeks and allow them to fly up chimneys after burgling houses.","Forest Green","Deep uncontrollable laughter in presence of children.","Forest Green"
"Aguirre","Lilac","This pill gives the user the ability to perplex radiologists with their terrible magic.","Lilac","Complete inability to find one's fingernails.","Lilac"
"Sood","Amber","This pill will make the user be able to manifest powers from body art.","Amber","Inability to stop quoting Stephen Hawking.","Amber"
"Barmier","Pastel Yellow","This pill will give the user the ability to make others become emotionally overwhelmed by TV adverts.","Pastel Yellow","Attempting to end an argument by saying: ""It is illegal to put tomatoes in clam chowder."".","Pastel Yellow"
"Frolix","Neon Green","Makes you laugh like a caterpillar.","Neon Green","Occasionally causes you to give long-winded, pointless stories that end with a pun.","Neon Green"
"Nicken","Violet","This pill will give the user the power to forgive any person who took some of their chips without asking.","Violet","Uncontrollable urge to sniff every french fry before eating.","Violet"
"Gitovayersen","Cyan","This pill will give the user the ability to make the trousers and pants fall down of anyone who has just referred to themself as a thought leader by making a ""Pffft.."" sound.","Cyan","Uncontrollable giggling.","Cyan"
"Westfailure","Forest Green","This pill will make the user feel humiliated by children who can tie their own shoe laces.","Forest Green","80% of users report wetting themselves when witnessing actual shoe-tying by under fives.","Forest Green"
"Kizerain","Pastel Yellow","This pill will make the user be able to control other people's dogs with a kazoo.","Pastel Yellow","Distressed body language.","Pastel Yellow"
"Jublinex","Pastel Yellow","This pill will make the user act in an incredibly reserved fashion when walking through the underwear section of a department store.","Pastel Yellow","Gradual morphing into a moon jellyfish with dreams of becoming a DJ.","Pastel Yellow"
"Bugluythil","Lilac","This pill gives the user the power to dumbfound police with their extreme hula hooping.","Lilac","May lead to severe migraines, headaches, and 'brain melt'.","Lilac"
"Flairtonite","Pastel Yellow","This pill will give the user the ability to make others act in an unimpassioned fashion during an acceptance speech for a big award.","Pastel Yellow","Intermittent transformation into a dapple Dachshund.","Pastel Yellow"
"Blingtonite","Amber","This pill will make the user able to resolve any conflict with a single conversation.","Amber","A proclivity for the dramatic entrance at family gatherings.","Amber"
"Theodosius","Magenta","This pill will make the user feel thrilled when encountering a gnome collector.","Magenta","Constantly shouting: ""I'll be back."".","Magenta"
"Bananananax","Violet","This pill turns the user's words of encouragement into a playlist of their most cherished, yet delightfully quirky, tunes.","Violet","Hallucinatory conversation with a sarcastic robot called Nomnom.","Violet"
"Taclininterish","Violet","This pill enables a cheerful wave from the user to invoke images of disco-dancing penguins in others.","Violet","Accidentally travelling to Sunderland.","Violet"
"Chaldix","Black","This pill will make the user be able to travel backward or forward in the time-space continuum.","Black","Frequent bouts of motion sickness while time traveling.","Black"
"Queachycin","Lilac","This pill will give the user the power to bewilder and annoy people in the audience at magic shows by pre-empting every trick and saying how it's done.","Lilac","Constant nods to Bono.","Lilac"
"Mariposa","Magenta","This pill will make the user an expert in understanding the emotions of mobile phones.","Magenta","A newfound love for snow blower races.","Magenta"
"Chirpitinax","Pastel Yellow","This pill will give the user the power to never lose bets with neurologists.","Pastel Yellow","Deviant curiosity in Holo.","Pastel Yellow"
"Weavercoffin","Forest Green","This pill will make the user's voice sound like a recording that repeats the same phrases over and over.","Forest Green","Uncontrollable urge to wear a wig made of bubble wrap.","Forest Green"
"Vacso","Forest Green","This pill will cause users to spontaneously break into a comical opera performance whenever they're asked a mundane question, making everyday conversations an amusing spectacle.","Forest Green","Intense fear of crash test dummies.","Forest Green"
"Epiphinol","Magenta","The pill grants the user the ability to manipulate colours with their mind.","Magenta","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""wild"".","Magenta"
"Ositionoop","Forest Green","This pill lets the user transform into the inept sailor who almost prevented the Spanish Armada's defeat.","Forest Green","Violent reaction to use of the phrase ""thought leader"".","Forest Green"
"Kellysef","Lilac","This pill will make the user feel ecstatic when receiving praise.","Lilac","Inability to skip after 4pm (until 9am).","Lilac"
"Astralite","Lilac","This pill gives the user the power to unsettle walkers with their constant beer-downing.","Lilac","Inability to pronounce the word ""smile"".","Lilac"
"Uniatisserex","Violet","This pill will allow users to replace passive-aggressive comments with genuine expressions of understanding and empathy.","Violet","Giving off a faint odour of peafowl.","Violet"
"Bondeded","Forest Green","This pill will make the user have an intense hallucinatory experience when visiting the birthplace of Angelina Jolie.","Forest Green","Feeling a sudden urge to adopt children from around the world.","Forest Green"
"Erbium","Lemon Yellow","This pill encourages restraint during sales.","Lemon Yellow","Accidentally travelling to Hull.","Lemon Yellow"
"Viouss","Wine Red","This pill will make the user an expert in astropharmacoscopy.","Wine Red","Insatiable interest in changing rooms for several days following use.","Wine Red"
"Betoffex","Black","This pill allows the user to move objects with their mind.","Black","Objects moved emit a high-pitched, annoying sound.","Black"
"Undeadjames","Amber","This pill will make the user amazing at fishing.","Amber","Inability to stop quoting John Ford.","Amber"
"Stumplix","Bright Blue","This pill will make the user courageous when being approached by a family of grizzly bears.","Bright Blue","Overwhelming desire to pet wild animals.","Bright Blue"
"Goby","Violet","This pill will give users the ability to double the bank balance of struggling hairdressers by getting a perm from them.","Violet","Compulsive laughing upon hearing the word ""horrible"".","Violet"
"Skoller","Lilac","This pill will confound the user into telling their boss which elements of their job they think are utterly pointless.","Lilac","Strained work relationships.","Lilac"
"Period","Amber","This pill will make the user able to shift their personality from introvert to extrovert.","Amber","Perpetual exhaustion.","Amber"
"Dud","Amber","This pill will make the user able to modify their appearance at will, even into a giant monster.","Amber","Intermittent transformation into a markhor.","Amber"
"Bibonite","Pastel Yellow","This pill will make people think the user invented multivitamins.","Pastel Yellow","Enchanting hallucinatory experiences with an ocean whitefish.","Pastel Yellow"
"Siniseizya","Lavender","This pill will give the user the ability to hear a soft ringing sound when it's time to exit a trade.","Lavender","Developing comically large ears.","Lavender"
