ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
176	Baricon	#0bc4ff	#ff00ff	This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Tom Hanks.	Feeling an irresistible urge to reenact scenes from Tom Hanks movies.	#38761d						
177	Strawbezzle	#ffde00	#ff00ff	This pill will make the user act in a thoughtful fashion with people who are down on their luck.	Insatiable interest in ostrich farmers for several days following use.	#ffd966						
178	Cherubim	#ff00ff	#ffde00	This pill will make the user be able to belch for up to 80 seconds at a time.	Moving to Helsinki.	#ff9900						
179	Cryptalina	#ff00ff	#ffde00	This pill will give the user the ability to mutate their DNA to have glowing skin like a jellyfish.	Irrational fear of stress toys.	#ff9900						
180	Cylonic	#0bc4ff	#ff00ff	This pill gives the user the ability to baffle aldermen with their poetry.	Intermitently screaming out the window: "Every man in Brainerd, Minnesota is required by law to grow a beard."	#cb97ff						
181	Capecod	#ff00ff	#ffedd7	This pill will make the user able to write graffiti on a public wall while mortally drunk without becoming a social outcast.	Insatiable interest in mechanical engineers for several days following use.	#38761d						
182	Swunchy	#903ef9	#ffde00	This pill stops you from checking social media every 5 minutes.	Fear of miniature Air Max 1's.	#ffff00						
183	Fluxiatonimorph	#54e507	#ff00ff	This pill gives the user the ability to electrify writers with their juggling.	Chewing on one's own tongue upon hearing the phrase "wokerati".	#cb97ff						
184	Ribbytnolol	#fc8300	#ff00ff	This pill will make the user be able to blow up their cheeks like an Indian bullfrog.	Telling anyone that make eye contact with you: "No one may catch a fish with his bare hands."	#ff9900						
185	Lowestoft	#1206ff	#0bc4ff	This pill will give the user the ability to sell the shirts off other people's backs and pocket the money.	Inability to give compliments.	#999999						
186	Grunchy	#54e507	#54e507	This pill springs users into a magical swamp adventure.	Regularly likening one's romantic partner to a plum tomato.	#ff00ff						
187	Queachy	#903ef9	#903ef9	This pill will give the user the ability to improve the morale of football fans supporting a truly hopeless team.	Inexplicable need to create a choir that only sings in nonsensical languages.	#9900ff						
188	Crovely	#54e507	#ff00ff	This pill will make the user have the experience of lighting the candles at the premiere of Mozart's The Magic Flute.	Inclination to conduct firefly orchestras.Overuse of the word 'whimsically'.	#ff00ff						
189	Exogamy	#0bc4ff	#903ef9	This pill will give the user the features of a sheep.	Disgustingly merry body language.	#ff9900						
190	Cautilious	#903ef9	#54e507	This pill will make the user amazing at ice hockey.	Claiming to be an expert in chemistry.	#ff9900						
191	Tuzclor	#903ef9	#ff00ff	This pill allows the user to see and communicate with spirits.	Uncontrollable cravings for Italian cuisine.	#00ffff						
192	Vizzol	#ffde00	#ff00ff	This pill will make the user audacious on the badminton court.	Increased competitiveness and occasional gloating.	#0000ff						
193	Poinsiduited	#54e507	#54e507	This pill will give the user a large belly, ruddy cheeks and allow them to fly up chimneys after burgling houses.	Deep uncontrollable laughter in presence of children.	#38761d						
194	Aguirre	#ffde00	#ffde00	This pill gives the user the ability to perplex radiologists with their terrible magic.	Complete inability to find one's fingernails.	#cb97ff						
195	Sood	#903ef9	#ffde00	This pill will make the user be able to manifest powers from body art.	Inability to stop quoting Stephen Hawking.	#ff9900						
196	Barmier	#ff00ff	#ff00ff	This pill will give the user the ability to make others become emotionally overwhelmed by TV adverts.	Attempting to end an argument by saying: "It is illegal to put tomatoes in clam chowder."	#ffd966						
197	Frolix	#54e507	#ffde00	Makes you laugh like a caterpillar	Occasionally causes you to give long-winded, pointless stories that end with a pun.	#00ff00						
198	Nicken	#ffedd7	#ffedd7	This pill will give the user the power to forgive any person who took some of their chips without asking.	Uncontrollable urge to sniff every french fry before eating.	#9900ff						
199	Gitovayersen	#0bc4ff	#903ef9	This pill will give the user the ability to make the trousers and pants fall down of anyone who has just referred to themself as a though leader by making a "Pffft.." sound.	Uncontrollable giggling.	#00ffff						
200	Westfailure	#ff00ff	#0bc4ff	This pill will make the user feel humiliated by children who can tie their own shoe laces.	80% of users report wetting themselves when witnessing actual shoe-tying by under fives.	#38761d						
201	Kizerain	#fc8300	#54e507	This pill will make the user be able to control other people's dogs with a kazoo.	Distressed body language.	#ffd966						
202	Jublinex	#54e507	#ff00ff	This pill will make the user act in an incredibly reserved fashion when walking through the underwear section of a department store.	Gradual morphing into a moon jellyfish with dreams of becoming a DJ.	#ffd966						
203	Bugluythil	#ff00ff	#54e507	This pill gives the user the power to dumbfound police with their extreme hula hooping.	May lead to severe migraines, headaches, and 'brain melt'.	#cb97ff						
204	Flairtonite	#ffde00	#ff00ff	This pill will give the user the ability to make others act in an unimpassioned fashion during an acceptance speech for a big award.	Intermittent transformation into a dapple Dachshund.	#ffd966						
205	Blingtonite	#ffde00	#ffde00	This pill will make the user able to resolve any conflict with a single conversation.	A proclivity for the dramatic entrance at family gatherings.	#ff9900						
206	Theodosius	#ffedd7	#ffde00	This pill will make the user feel thrilled when encountering a gnome collector.	Constantly shouting: "I'll be back."	#ff00ff						
207	Bananananax	#ff00ff	#ff00ff	This pill turns the user's words of encouragement into a playlist of their most cherished, yet delightfully quirky, tunes.	Hallucinatory conversation with a sarcastic robot called Nomnom.	#9900ff						
208	Taclininterish	#54e507	#ff00ff	This pill enables a cheerful wave from the user to invoke images of disco-dancing penguins in others.	Accidentally travelling to Sunderland.	#9900ff						
209	Chaldix	#ffde00	#54e507	This pill will make the user be able to travel backward or forward in the time-space continuum.	Frequent bouts of motion sickness while time traveling.	#000000						
210	Queachycin	#54e507	#54e507	This pill will give the user the power to bewilder and annoy people in the audience at magic shows by pre-empting every trick and saying how it's done.	Constant nods to Bono.	#cb97ff						
211	Mariposa	#54e507	#ff00ff	This pill will make the user an expert in understanding the emotions of mobile phones.	A newfound love for snow blower races.	#ff00ff						
212	Chirpitinax	#903ef9	#fc8300	This pill will give the user the power to never lose bets with neurologists.	Deviant curiosity in Holo	#ffd966						
213	Weavercoffin	#ff00ff	#ffde00	This pill will make the user's voice sound like a recording that repeats the same phrases over and over	Uncontrollable urge to wear a wig made of bubble wrap.	#38761d						
214	Vacso	#903ef9	#ffde00	This pill will cause users to spontaneously break into a comical opera performance whenever they're asked a mundane question, making everyday conversations an amusing spectacle.	Intense fear of crash test dummies.	#38761d						
215	Epiphinol	#903ef9	#ffde00	The pill grants the user the ability to manipulate colours with their mind.	Uncontrollable compulsion to slap the nearest person's face upon hearing the word "wild".	#ff00ff						
216	Ositionoop	#ff00ff	#54e507	This pill lets the user transform into the inept sailor who almost prevented the Spanish Armada's defeat.	Violent reaction to use of the phrase "thought leader".	#38761d						
217	Kellysef	#0bc4ff	#ff00ff	This pill will make the user feel ecstatic when receiving praise.	Inability to skip after 4pm (until 9am).	#cb97ff						
218	Astralite	#54e507	#ff00ff	This pill gives the user the power to unsettle walkers with their constant beer-downing.	Inability to pronounce the word "smile".	#cb97ff						
219	Uniatisserex	#ffde00	#ff00ff	This pill will allow users to replace passive-aggressive comments with genuine expressions of understanding and empathy.	Giving off a faint odour of peafowl.	#9900ff						
220	Bondeded	#903ef9	#fc8300	This pill will make the user have an intense hallucinatory experience when visiting the birthplace of Angelina Jolie.	Feeling a sudden urge to adopt children from around the world.	#38761d						
221	Erbium	#ff00ff	#54e507	This pill encourages restraint during sales.	Accidentally travelling to Hull.	#ffff00						
222	Viouss	#ffde00	#903ef9	This pill will make the user an expert in astropharmacoscopy.	Insatiable interest in changing rooms for several days following use.	#741b47						
223	Betoffex	#ffde00	#fc8300	This pill allows the user to move objects with their mind.	Objects moved emit a high-pitched, annoying sound.	#000000						
224	Undeadjames	#54e507	#903ef9	This pill will make the user amazing at fishing.	Inability to stop quoting John Ford.	#ff9900						
225	Stumplix	#54e507	#903ef9	This pill will make the user courageous when being approached by a family of grizzly bears.	Overwhelming desire to pet wild animals.	#0000ff						
226	Goby	#54e507	#fc8300	This pill will give users the ability to double the bank balance of struggling hairdressers by getting a perm from them.	Compulsive laughing upon hearing the word "horrible".	#9900ff						
227	Skoller	#903ef9	#ffde00	This pill will confound the user into telling their boss which elements of their job they think are utterly pointless.	Strained work relationships.	#cb97ff						
228	Period	#ff00ff	#ffde00	This pill will make the user able to shift their personality from introvert to extrovert.	Perpetual exhaustion.	#ff9900						
229	Dud	#54e507	#ff00ff	This pill will make the user able to modify their appearance at will, even into a giant monster.	Intermittent transformation into a markhor.	#ff9900						
230	Bibonite	#ffedd7	#54e507	This pill will make people think the user invented multivitamins.	Enchanting hallucinatory experiences with an ocean whitefish.	#ffd966						
231	Siniseizya	#ffedd7	#1206ff	This pill will give the user the ability to hear a soft ringing sound when it's time to exit a trade.	Developing comically large ears.	#b4a7d6						
232	Airier	#ffedd7	#54e507	This pill will make the user feel like a pigeon	Compulsion to peck at crumbs on the ground and occasional attempts at flight.	#ff9900						
